	code	name	AL	G1	G2	G3
0	Z7901	Long term (current) use of anticoagulants	0.04354714913666248	0.03576935011148453	0.036863519384525714	0.03922490474395454
1	I739	Peripheral vascular disease, unspecified	0.03864194058673456		0.036770386360120026	0.03528573654172942
2	J449	Chronic obstructive pulmonary disease, unspecified	0.038088364612311125	0.0379953174921684	0.03520685231219977	0.027633124060928823
3	Z794	Long term (current) use of insulin	0.03674041715636849	0.03069679934810847	0.03447941047232598	0.03307427152711898
4	I2510	Atherosclerotic heart disease of native coronary artery without angina pectoris	0.02821603612601757		0.035478224029764534	0.028281475306488574
5	I350	Nonrheumatic aortic (valve) stenosis				0.03542217184975743
6	E875	Hyperkalemia	0.03062396809179336	0.03474998079938814	0.02937333305971697	
7	E669	Obesity, unspecified	0.027085046616382898		0.03344168354012072	
8	F0390	Unspecified dementia without behavioral disturbance				0.031943319632671774
9	N179	Acute kidney failure, unspecified		0.03155752460472286		0.027415390550158916
10	I214	Non-ST elevation (NSTEMI) myocardial infarction	0.028459421960636975	0.0312692272166023		
11	I252	Old myocardial infarction	0.026786628457717596		0.03088526431936771	
12	I4891	Unspecified atrial fibrillation	0.028956205090507864	0.026555333755910397	0.030821627111174168	0.027429535922594367
13	J189	Pneumonia, unspecified organism	0.03052953879069537	0.03041008328727912		0.026153677325230093
14	Z8673	Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits	0.02581349309813231	0.03031200045160949		0.029470201545394956
15	Z7902	Long term (current) use of antithrombotics/antiplatelets		0.025985154217109084		0.029315102781169118
16	M109	Gout, unspecified				0.02897708657803014
17	F17210	Nicotine dependence, cigarettes, uncomplicated	0.025924083476886153	0.026444324805401265	0.028787469630129636	
18	I480	Paroxysmal atrial fibrillation		0.028650510752457194		0.025631117288954557
19	E871	Hypo-osmolality and hyponatremia				0.028273127977270635
20	J45909	Unspecified asthma, uncomplicated		0.028137025556061415		
21	D649	Anemia, unspecified		0.026745830579195173		0.026954121560789645
22	E039	Hypothyroidism, unspecified				0.026928813573904337
23	E7800	Pure hypercholesterolemia, unspecified				0.02675494745420292
24	N400	Benign prostatic hyperplasia without lower urinary tract symptoms			0.026414784213062377	
25	E119	Type 2 diabetes mellitus without complications				0.026364265388809146
26	K219	Gastro-esophageal reflux disease without esophagitis				0.025931605379097163
27	N390	Urinary tract infection, site not specified				0.02573914657719433
28	Z950	Presence of cardiac pacemaker				0.025497239521238953
